chapa;Horas;WBS;PSA;;;chapa;Horas;WBS;PSA
10705;90;RO-2779-1-T-B-W-MP-MAPB3;BG14;;;11388;1;RO-1010-1-T-B-W-MP-MAPB3;BG14
10705;11,85;RO-2779-1-T-B-W-MP-MAPB3;BG14;;;11782;1;RO-1010-1-T-B-W-MP-MAPB3;BG14
19436;90;RO-1103-1-T-B-W-MP-MAPB3;BA01;;;13007;2,5;RO-1010-1-T-B-W-MP-MAPB3;BG14
19436;55,95;RO-1103-1-T-B-W-MP-MAPB3;BA01;;;19572;1;RO-1010-1-T-B-W-MP-MAPB3;BG14
14031;90;RO-2724-1-T-B-W-MP-MAPB3;BG14;;;19436;145,95;RO-1103-1-T-B-W-MP-MAPB3;BA01
14031;17,25;RO-2724-1-T-B-W-MP-MAPB3;BG14;;;14031;107,25;RO-2724-1-T-B-W-MP-MAPB3;BG14
12705;90;RO-2942-1-T-B-W-MP-MAPB3;BA01;;;10705;101,85;RO-2779-1-T-B-W-MP-MAPB3;BG14
12705;23,5;RO-2942-1-T-B-W-MP-MAPB3;BA01;;;12705;113,5;RO-2942-1-T-B-W-MP-MAPB3;BA01
14031;0,5;RO-2942-1-T-B-W-MP-MAPB3;BG14;;;14031;0,5;RO-2942-1-T-B-W-MP-MAPB3;BA01
16276;0,5;RO-2942-1-T-B-W-MP-MAPB3;BG14;;;16276;0,5;RO-2942-1-T-B-W-MP-MAPB3;BA01
