centro;fecha_imput;chapa;Horas;Cost;Cost_2;WBS;VACIA1;VACIA2;PSA
AES1;30/09/2024;11454;5,5;RO60062.00;1021;RO-1070-1-T-0-W-TO-TOOB3;;;BG14
AES1;30/09/2024;11454;2;RO60062.00;1021;RO-1090-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;11454;3,5;RO60062.00;1021;RO-1096-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;11454;29;RO60062.00;1021;RO-1103-1-T-B-W-TO-TOOB3;;;BA01
AES1;30/09/2024;11454;11;RO60062.00;1021;RO-2586-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;11454;26;RO60062.00;1021;RO-2724-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;11454;3;RO60062.00;1021;RO-2731-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;11454;29,5;RO60062.00;1021;RO-2779-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;11454;9;RO60062.00;1021;RO-2857-1-T-0-W-TO-TOOB3;;;BG14
AES1;30/09/2024;11454;14,5;RO60062.00;1021;RO-2942-1-T-B-W-TO-TOOB3;;;BA01
AES1;30/09/2024;12084;14;RO60062.00;1021;RO-1010-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;6,5;RO60062.00;1021;RO-1070-1-T-0-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;1;RO60062.00;1021;RO-1070-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;11;RO60062.00;1021;RO-1090-1-T-B-W-TO-TOOB3;;;BA01
AES1;30/09/2024;12084;1;RO60062.00;1021;RO-1091-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;47,75;RO60062.00;1021;RO-1103-1-T-B-W-TO-TOOB3;;;BA01
AES1;30/09/2024;12084;1;RO60062.00;1021;RO-1103-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;6,5;RO60062.00;1021;RO-1126-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;2,5;RO60062.00;1021;RO-1190-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;24,5;RO60062.00;1021;RO-1235-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;2;RO60062.00;1021;RO-2586-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;6;RO60062.00;1021;RO-2776-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;9;RO60062.00;1021;RO-2779-1-T-B-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;1;RO60062.00;1021;RO-2857-1-T-0-W-TO-TOOB3;;;BG14
AES1;30/09/2024;12084;6;RO60062.00;1021;RO-2942-1-T-B-W-TO-TOOB3;;;BA01
AES1;30/09/2024;12084;5;RO60062.00;1021;RO-2981-1-T-B-W-TO-TOOB3;;;BG14
